Pallet Number,Box Number,Label
1,1,Pallet Label 1
1,2,Pallet Label 1
1,3,Pallet Label 1
1,4,Pallet Label 1
1,5,Pallet Label 1
1,6,Pallet Label 1
1,7,Pallet Label 1
1,8,Pallet Label 1
1,9,Pallet Label 1
1,10,Pallet Label 1
1,11,Pallet Label 1
1,12,Pallet Label 1
1,13,Pallet Label 1
1,14,Pallet Label 1
1,15,Pallet Label 1
1,16,Pallet Label 1
1,17,Pallet Label 1
1,18,Pallet Label 1
1,19,Pallet Label 1
1,20,Pallet Label 1
1,21,Pallet Label 1
1,22,Pallet Label 1
1,23,Pallet Label 1
1,24,Pallet Label 1
2,25,Pallet Label 2
2,26,Pallet Label 2
2,27,Pallet Label 2
2,28,Pallet Label 2
2,29,Pallet Label 2
2,30,Pallet Label 2
2,31,Pallet Label 2
2,32,Pallet Label 2
2,33,Pallet Label 2
2,34,Pallet Label 2
2,35,Pallet Label 2
2,36,Pallet Label 2
2,37,Pallet Label 2
2,38,Pallet Label 2
2,39,Pallet Label 2
2,40,Pallet Label 2
2,41,Pallet Label 2
2,42,Pallet Label 2
2,43,Pallet Label 2
2,44,Pallet Label 2
2,45,Pallet Label 2
2,46,Pallet Label 2
2,47,Pallet Label 2
2,48,Pallet Label 2
3,49,Pallet Label 3
3,50,Pallet Label 3
3,51,Pallet Label 3
3,52,Pallet Label 3
3,53,Pallet Label 3
3,54,Pallet Label 3
3,55,Pallet Label 3
3,56,Pallet Label 3
3,57,Pallet Label 3
3,58,Pallet Label 3
3,59,Pallet Label 3
3,60,Pallet Label 3
3,61,Pallet Label 3
3,62,Pallet Label 3
3,63,Pallet Label 3
3,64,Pallet Label 3
3,65,Pallet Label 3
3,66,Pallet Label 3
3,67,Pallet Label 3
3,68,Pallet Label 3
3,69,Pallet Label 3
3,70,Pallet Label 3
3,71,Pallet Label 3
3,72,Pallet Label 3
4,73,Pallet Label 4
4,74,Pallet Label 4
4,75,Pallet Label 4
4,76,Pallet Label 4
4,77,Pallet Label 4
4,78,Pallet Label 4
4,79,Pallet Label 4
4,80,Pallet Label 4
4,81,Pallet Label 4
4,82,Pallet Label 4
4,83,Pallet Label 4
4,84,Pallet Label 4
4,85,Pallet Label 4
4,86,Pallet Label 4
4,87,Pallet Label 4
4,88,Pallet Label 4
4,89,Pallet Label 4
4,90,Pallet Label 4
4,91,Pallet Label 4
4,92,Pallet Label 4
4,93,Pallet Label 4
4,94,Pallet Label 4
4,95,Pallet Label 4
4,96,Pallet Label 4
5,97,Pallet Label 5
5,98,Pallet Label 5
5,99,Pallet Label 5
5,100,Pallet Label 5
5,101,Pallet Label 5
5,102,Pallet Label 5
5,103,Pallet Label 5
5,104,Pallet Label 5
5,105,Pallet Label 5
5,106,Pallet Label 5
5,107,Pallet Label 5
5,108,Pallet Label 5
5,109,Pallet Label 5
5,110,Pallet Label 5
5,111,Pallet Label 5
5,112,Pallet Label 5
5,113,Pallet Label 5
5,114,Pallet Label 5
5,115,Pallet Label 5
5,116,Pallet Label 5
5,117,Pallet Label 5
5,118,Pallet Label 5
6,119,Pallet Label 6
6,120,Pallet Label 6
6,121,Pallet Label 6
